,State,District,Name,Party,Status,Religion
208,LA,4,Mike Johnson,R,Continuing,Baptist
209,LA,6,Garret Graves,R,Continuing,Catholic
210,LA,Senator,John Kennedy,R,Continuing,Methodist
211,LA,Senator,Bill Cassidy,R,Continuing,Protestant unspecified
212,MA,1,Richard E. Neal,D,Continuing,Catholic
213,MA,2,Jim McGovern,D,Continuing,Catholic
214,MA,3,Lori Trahan,D,Continuing,Catholic
215,MA,4,Jake Auchincloss,D,Freshman,Jewish
216,MA,5,Katherine M. Clark,D,Continuing,Protestant unspecified
217,MA,6,Seth Moulton,D,Continuing,Protestant unspecified
218,MA,7,Ayanna S. Pressley,D,Continuing,Baptist
219,MA,8,Stephen F. Lynch,D,Continuing,Catholic
220,MA,9,William Keating,D,Continuing,Catholic
221,MA,Senator,Elizabeth Warren,D,Continuing,Methodist
222,MA,Senator,Edward J. Markey,D,Continuing,Catholic
223,MD,1,Andy Harris,R,Continuing,Catholic
224,MD,2,C.A. Dutch Ruppersberger,D,Continuing,Methodist
225,MD,3,John Sarbanes,D,Continuing,Orthodox
226,MD,4,Anthony G. Brown,D,Continuing,Catholic
227,MD,5,Steny H. Hoyer,D,Continuing,Baptist
228,MD,6,David Trone,D,Continuing,Lutheran
229,MD,7,Kweisi Mfume,D,Continuing,Baptist
230,MD,8,Jamie Raskin,D,Continuing,Jewish
231,MD,Senator,Benjamin L. Cardin,D,Continuing,Jewish
232,MD,Senator,Chris Van Hollen,D,Continuing,Episcopalian
233,ME,1,Chellie Pingree,D,Continuing,Lutheran
234,ME,2,Jared Golden,D,Continuing,Don't know/refused
235,ME,Senator,Angus King,I,Continuing,Episcopalian
236,ME,Senator,Susan Collins,R,Continuing,Catholic
237,MI,1,Jack Bergman,R,Continuing,Lutheran
238,MI,2,Bill Huizenga,R,Continuing,Reformed
239,MI,3,Peter Meijer,R,Freshman,Protestant unspecified
240,MI,4,John Moolenaar,R,Continuing,Protestant unspecified
241,MI,5,Dan Kildee,D,Continuing,Catholic
242,MI,6,Fred Upton,R,Continuing,Protestant unspecified
243,MI,7,Tim Walberg,R,Continuing,Protestant unspecified
244,MI,8,Elissa Slotkin,D,Continuing,Jewish
245,MI,9,Andy Levin,D,Continuing,Jewish
246,MI,10,Lisa McClain,R,Freshman,Catholic
247,MI,11,Haley Stevens,D,Continuing,Protestant unspecified
248,MI,12,Debbie Dingell,D,Continuing,Catholic
249,MI,13,Rashida Tlaib,D,Continuing,Muslim
250,MI,14,Brenda Lawrence,D,Continuing,Protestant unspecified
251,MI,Senator,Gary Peters,D,Continuing,Episcopalian
