bio_id,speaker_name,chamber,state,gender,total_words,total_keywords,total_god_mentions,total_biblical_references
C001084,Mr. CICILLINE,House,RI,M,323150,14,17,0
R000610,Mr. RESCHENTHALER,House,PA,M,105576,17,13,0
D000627,Mrs. DEMINGS,House,FL,F,41985,12,13,2
J000298,Ms. JAYAPAL,House,WA,F,155363,12,6,0
S001193,Mr. SWALWELL of California,House,CA,M,173326,31,19,2
K000391,Mr. KRISHNAMOORTHI,House,IL,M,58802,18,7,0
P000258,Mr. PETERSON,House,MN,M,162719,1,1,0
B001301,Mr. BERGMAN,House,MI,M,115527,23,22,0
H001082,Mr. KEVIN HERN of Oklahoma,House,OK,M,46698,11,11,0
A000377,Mr. ARMSTRONG,House,ND,M,34081,1,1,0
P000605,Mr. PERRY,House,PA,M,253788,64,86,1
H001071,Mr. HICE of Georgia,House,GA,M,85075,101,72,1
J000289,Mr. JORDAN,House,OH,M,210880,51,27,1
G000568,Mr. GRIFFITH,House,VA,M,140817,40,30,0
C001115,Mr. CLOUD,House,TX,M,50426,71,54,1
D000626,Mr. DAVIDSON of Ohio,House,OH,M,67281,20,12,1
R000597,Mr. RICE of South Carolina,House,SC,M,49850,12,11,0
C000174,Mr. CARPER,Senate,DE,M,1467368,193,147,8
H001061,Mr. HOEVEN,Senate,ND,M,404527,15,15,0
C001096,Mr. CRAMER,Senate,ND,M,134976,47,36,1
I000024,Mr. INHOFE,Senate,OK,M,2690732,481,247,21
C000880,Mr. CRAPO,Senate,ID,M,674353,43,16,0
M000639,Mr. MENENDEZ,Senate,NJ,M,1854684,160,133,2
I000055,Mr. ISAKSON,Senate,GA,M,640021,136,116,1
B001135,Mr. BURR,Senate,NC,M,623315,59,41,0
C001090,Mr. CARTWRIGHT,House,PA,M,212331,20,7,0
H001058,Mr. HUIZENGA,House,MI,M,191132,33,23,0
C001066,Ms. CASTOR of Florida,House,FL,F,302278,24,21,1
S001187,Mr. STIVERS,House,OH,M,92018,4,5,0
K000392,Mr. KUSTOFF of Tennessee,House,TN,M,31292,1,1,0
K000382,Ms. KUSTER of New Hampshire,House,NH,F,172868,32,25,1
M001203,Mr. MALINOWSKI,House,NJ,M,43988,0,0,0
T000479,Mr. TAYLOR,House,TX,M,47728,8,6,0
W000816,Mr. WILLIAMS,House,TX,M,82541,248,245,0
L000570,Mr. LUJAN,House,NM,M,98754,13,9,0
V000133,Mr. VAN DREW,House,NJ,M,75240,439,434,0
L000590,Mrs. LEE of Nevada,House,NV,F,31571,1,1,0
T000460,Mr. THOMPSON of California,House,CA,M,594087,8,9,0
P000610,Ms. PLASKETT,House,VI,F,145621,20,13,0
S001189,Mr. AUSTIN SCOTT of Georgia,House,GA,M,75980,11,8,3
T000474,Mrs. TORRES of California,House,CA,F,118524,9,3,0
S001177,Mr. SABLAN,House,MP,M,177128,23,14,0
M001184,Mr. MASSIE,House,KY,M,70847,7,9,0
M001207,Ms. MUCARSEL-POWELL,House,FL,F,12496,0,0,0
D000630,Mr. DELGADO,House,NY,M,17254,2,2,0
S001213,Mr. STEIL,House,WI,M,25440,3,2,0
G000585,Mr. GOMEZ,House,CA,M,33425,6,6,0
M001209,Mr. McADAMS,House,UT,M,22005,2,2,0
O000172,Ms. OCASIO-CORTEZ,House,NY,F,31364,0,0,0
L000577,Mr. LEE,Senate,UT,M,866719,225,103,5
H001075,Ms. HARRIS,Senate,CA,F,49290,11,9,0
C001098,Mr. CRUZ,Senate,TX,M,618867,113,75,1
W000817,Ms. WARREN,Senate,MA,F,415611,12,10,1
C000127,Ms. CANTWELL,Senate,WA,F,1233180,34,32,0
W000437,Mr. WICKER,Senate,MS,M,475804,36,36,0
S001197,Mr. SASSE,Senate,NE,M,146979,43,35,1
A000360,Mr. ALEXANDER,Senate,TN,M,2142724,92,51,3
W000806,Mr. WEBSTER of Florida,House,FL,M,88290,17,15,0
B000755,Mr. BRADY,House,TX,M,526129,87,48,1
S001145,Ms. SCHAKOWSKY,House,IL,F,854526,61,36,2
K000375,Mr. KEATING,House,MA,M,175664,10,8,0
S000244,Mr. SENSENBRENNER,House,WI,M,725247,61,55,0
B000574,Mr. BLUMENAUER,House,OR,M,1508253,58,43,0
K000388,Mr. KELLY of Mississippi,House,MS,M,154756,105,73,3
G000578,Mr. GAETZ,House,FL,M,108471,11,15,0
P000607,Mr. POCAN,House,WI,M,168003,5,5,0
A000370,Ms. ADAMS,House,NC,F,96318,18,17,0
S001150,Mr. SCHIFF,House,CA,M,779312,75,44,0
H001047,Mr. HIMES,House,CT,M,113396,18,12,1
R000601,Mr. RATCLIFFE,House,TX,M,35185,5,6,0
C001097,Mr. CARDENAS,House,CA,M,85130,13,8,0
W000814,Mr. WEBER of Texas,House,TX,M,85528,80,37,0
H001052,Mr. HARRIS,House,MD,M,109058,26,24,0
F000469,Mr. FULCHER,House,ID,M,21177,15,9,0
W000823,Mr. WALTZ,House,FL,M,25888,2,2,0
Y000064,Mr. YOUNG,Senate,IN,M,175485,49,41,1
P000449,Mr. PORTMAN,Senate,OH,M,1720933,180,174,0
K000378,Mr. KINZINGER,House,IL,M,101875,29,20,0
L000565,Mr. LOEBSACK,House,IA,M,80261,0,0,0
P000096,Mr. PASCRELL,House,NJ,M,647962,143,119,0
G000589,Mr. GOODEN,House,TX,M,10853,5,1,0
M001202,Mrs. MURPHY,House,FL,F,46253,9,9,1
S001200,Mr. SOTO,House,FL,M,201920,56,27,0
H001088,Mr. HAGEDORN,House,MN,M,12619,0,1,0
K000385,Ms. KELLY of Illinois,House,IL,F,129285,39,10,0
W000810,Mr. WOODALL,House,GA,M,732065,59,16,0
S000248,Mr. SERRANO,House,NY,M,501494,79,63,0
R000395,Mr. ROGERS of Kentucky,House,KY,M,537394,84,60,4
E000294,Mr. EMMER,House,MN,M,112126,11,9,0
C001062,Mr. CONAWAY,House,TX,M,386245,206,154,3
G000565,Mr. GOSAR,House,AZ,M,286458,40,49,1
G000546,Mr. GRAVES of Missouri,House,MO,M,485846,113,92,0
G000579,Mr. GALLAGHER,House,WI,M,92232,6,5,0
C001092,Mr. COLLINS of New York,House,NY,M,24541,5,5,0
K000188,Mr. KIND,House,WI,M,611212,84,77,1
S001156,Ms. SANCHEZ,House,CA,F,196118,20,12,0
C001063,Mr. CUELLAR,House,TX,M,269060,44,17,0
L000564,Mr. LAMBORN,House,CO,M,260960,227,128,15
C001123,Mr. CISNEROS,House,CA,M,18430,8,6,0
A000371,Mr. AGUILAR,House,CA,M,42124,0,0,0
C001047,Mrs. CAPITO,Senate,WV,F,521891,43,34,0
S000320,Mr. SHELBY,Senate,AL,M,573421,60,49,0
